Summary data collected by the Greenhouse Gas Reporting Program for 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Local Distribution Companies by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Local Distribution Companies,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004214,110071160001,City of Perryville,MO,Perryville,MO,63775,215 N West St,PERRY COUNTY,37.72742,-89.86481,221210,"NN-LDC,W-LDC",552.2,0.7,551.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007011,110071159281,City of Rensselaer Gas Utility,IN,Rensselaer,IN,47978,706 N. Cullen,JASPER COUNTY,40.94284,-87.15426,221210,"NN-LDC,W-LDC",420.75,0.5,420.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002273,110071161342,"City of Richmond - DPU, Natural Gas LDC",VA,Richmond,VA,23114,730 East Broad Street,CHESTERFIELD COUNTY,37.489045,-77.665066,221210,"NN-LDC,W-LDC",23971.9,28.9,23943,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000054,110071160313,City of Tallahassee Natural Gas Utility,FL,Tallahassee,FL,32304,2602 Jackson Bluff Road,LEON COUNTY,30.438668,-84.332457,221210,"NN-LDC,W-LDC",4362.3,5.3,4357,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004154,110071160979,"City of Union, South Carolina",SC,Union,SC,29379,101 Sharpe Avenue,UNION COUNTY,34.71568,-81.62514,221210,"NN-LDC,W-LDC",1837.95,2.2,1835.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005771,,Clarke-Mobile Counties Gas District,AL,Jackson,AL,36545,2003 College Avenue,,31.530954,-87.891408,221210,"NN-LDC,W-LDC",3353.35,4.1,3349.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005703,110071162003,"Colorado Natural Gas, Inc.",CO,Centennial,CO,80112,10825 E. Geddes Avenue,JEFFERSON COUNTY,39.57454,-105.13351,221210,"NN-LDC,W-LDC",6132.4,7.4,6125,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007361,110071161925,Columbia Gas of Kentucky,KY,Merrillville,IN,46410,801 East 86th Avenue,FAYETTE COUNTY,38.08005,-84.53753,221210,"NN-LDC,W-LDC",29342.8,35.3,29307.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003942,110071161039,Columbia Gas of Ohio,OH,Merrillville,IN,46410,801 East 86th Avenue,FRANKLIN COUNTY,39.95745,-83.00355,221210,"NN-LDC,W-LDC",210537,253.5,210283.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003839,,Columbia Gas of Pennsylvania,PA,Merrillville,IN,46410,801 East 86th Avenue,,40.28588,-80.1788,221210,"NN-LDC,W-LDC",107570.25,129.5,107440.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
